loss	grad_norm	learning_rate	epoch	step	eval_loss	eval_rouge1	eval_rouge2	eval_rougeL	eval_rougeLsum	eval_gen_len	eval_runtime	eval_samples_per_second	eval_steps_per_second	train_runtime	train_samples_per_second	train_steps_per_second	total_flos	train_loss
1.2098	4.060701370239258	1.9876237623762376e-05	0.024752475247524754	10														
0.9616	4.235517501831055	1.9752475247524755e-05	0.04950495049504951	20														
1.0086	2.9807517528533936	1.962871287128713e-05	0.07425742574257425	30														
0.8573	3.422236204147339	1.9504950495049508e-05	0.09900990099009901	40														
0.7761	3.2833428382873535	1.9381188118811882e-05	0.12376237623762376	50														
0.74	2.5503668785095215	1.9257425742574257e-05	0.1485148514851485	60														
0.6164	2.3816757202148438	1.9133663366336635e-05	0.17326732673267325	70														
0.6529	2.390915870666504	1.900990099009901e-05	0.19801980198019803	80														
0.6118	3.590519905090332	1.8886138613861388e-05	0.22277227722772278	90														
0.5961	3.1065292358398438	1.8762376237623763e-05	0.24752475247524752	100														
0.6637	2.3901875019073486	1.863861386138614e-05	0.2722772277227723	110														
0.534	8.63032341003418	1.8514851485148516e-05	0.297029702970297	120														
0.519	3.0803325176239014	1.8391089108910894e-05	0.3217821782178218	130														
0.5233	3.281334400177002	1.826732673267327e-05	0.3465346534653465	140														
0.5001	1.8038462400436401	1.8143564356435647e-05	0.3712871287128713	150														
0.5035	1.807033658027649	1.8019801980198022e-05	0.39603960396039606	160														
0.5963	2.633930206298828	1.7896039603960396e-05	0.4207920792079208	170														
0.4334	2.0589394569396973	1.7772277227722775e-05	0.44554455445544555	180														
0.4793	2.366154193878174	1.764851485148515e-05	0.47029702970297027	190														
0.6137	3.098456382751465	1.7524752475247528e-05	0.49504950495049505	200														
0.6037	2.580615758895874	1.7400990099009902e-05	0.5198019801980198	210														
0.3896	1.7489551305770874	1.7277227722772277e-05	0.5445544554455446	220														
0.5827	2.6411445140838623	1.7153465346534655e-05	0.5693069306930693	230														
